mu_minus_EF_eV,S_300K_uV_K-1,S_400K_uV_K-1,S_500K_uV_K-1,S_600K_uV_K-1,S_700K_uV_K-1,S_800K_uV_K-1,S_900K_uV_K-1
-1.057488931421592282e+00,1.487659999999999982e+01,1.736609999999999943e+01,1.877349999999999852e+01,1.949010000000000176e+01,1.986550000000000082e+01,2.014189999999999969e+01,2.046869999999999834e+01
-1.044563522954748080e+00,1.757809999999999917e+01,1.999650000000000105e+01,2.124549999999999983e+01,2.177169999999999916e+01,2.194160000000000110e+01,2.201310000000000144e+01,2.214710000000000178e+01
-1.031651720181026910e+00,2.010739999999999839e+01,2.243500000000000227e+01,2.352080000000000126e+01,2.386120000000000019e+01,2.384059999999999846e+01,2.372879999999999967e+01,2.369399999999999906e+01
-1.018739917407304407e+00,2.233659999999999712e+01,2.457839999999999847e+01,2.552159999999999940e+01,2.569770000000000110e+01,2.551360000000000028e+01,2.524929999999999808e+01,2.507759999999999678e+01
-1.005828114633583459e+00,2.409949999999999903e+01,2.632379999999999853e+01,2.716539999999999822e+01,2.721560000000000201e+01,2.690889999999999915e+01,2.653420000000000201e+01,2.626609999999999800e+01
-9.929163118598625104e-01,2.529629999999999868e+01,2.756780000000000186e+01,2.836370000000000147e+01,2.834520000000000195e+01,2.797339999999999804e+01,2.754340000000000188e+01,2.722919999999999874e+01
-9.800045090861414510e-01,2.584530000000000172e+01,2.819379999999999953e+01,2.901999999999999957e+01,2.901360000000000028e+01,2.865419999999999945e+01,2.823890000000000100e+01,2.793929999999999936e+01
-9.670927063124205025e-01,2.553519999999999968e+01,2.806019999999999825e+01,2.903190000000000026e+01,2.914920000000000044e+01,2.890230000000000032e+01,2.858719999999999928e+01,2.837340000000000018e+01
-9.541809035386979998e-01,2.406960000000000122e+01,2.701940000000000097e+01,2.830370000000000275e+01,2.869010000000000105e+01,2.867859999999999943e+01,2.856369999999999720e+01,2.851550000000000296e+01
-9.412691007649769404e-01,2.134809999999999874e+01,2.497960000000000136e+01,2.677179999999999893e+01,2.759860000000000113e+01,2.796220000000000283e+01,2.815680000000000049e+01,2.835920000000000130e+01
-9.283572979912559919e-01,1.765169999999999817e+01,2.197090000000000032e+01,2.443759999999999977e+01,2.587800000000000011e+01,2.675910000000000011e+01,2.737330000000000041e+01,2.791080000000000183e+01
-9.154454952175349325e-01,1.347180000000000000e+01,1.816910000000000025e+01,2.139360000000000284e+01,2.358790000000000120e+01,2.511029999999999873e+01,2.624200000000000088e+01,2.719069999999999965e+01
-9.025336924438139841e-01,9.174340000000000828e+00,1.386459999999999937e+01,1.783040000000000092e+01,2.085079999999999956e+01,2.309539999999999793e+01,2.481579999999999941e+01,2.623519999999999897e+01
-8.896218896700914813e-01,4.890609999999999680e+00,9.409230000000000871e+00,1.401829999999999998e+01,1.784530000000000172e+01,2.082979999999999876e+01,2.317020000000000124e+01,2.509499999999999886e+01
-8.767100868963704219e-01,7.406749999999999723e-01,5.171440000000000481e+00,1.026590000000000025e+01,1.478430000000000000e+01,1.845390000000000086e+01,2.139820000000000277e+01,2.383279999999999887e+01
-8.637982841226494735e-01,-2.940030000000000143e+00,1.497649999999999926e+00,6.870429999999999815e+00,1.188560000000000016e+01,1.611739999999999995e+01,1.960149999999999793e+01,2.251889999999999858e+01
-8.508864813489284140e-01,-5.697859999999999481e+00,-1.334680000000000089e+00,4.071590000000000487e+00,9.339690000000000936e+00,1.396129999999999960e+01,1.788140000000000285e+01,2.122569999999999979e+01
-8.379746785752074656e-01,-7.240620000000000722e+00,-3.161569999999999769e+00,2.022210000000000285e+00,7.286769999999999747e+00,1.210139999999999993e+01,1.632819999999999894e+01,2.002209999999999823e+01
-8.250628758014849629e-01,-7.544050000000000367e+00,-3.949299999999999589e+00,7.796300000000000452e-01,5.804850000000000065e+00,1.061850000000000094e+01,1.501410000000000089e+01,1.896809999999999974e+01
-8.121510730277639034e-01,-6.736909999999999954e+00,-3.778679999999999595e+00,3.149180000000000312e-01,4.910429999999999851e+00,9.554299999999999571e+00,1.398899999999999899e+01,1.811209999999999809e+01
-7.992256645609195909e-01,-5.033529999999999838e+00,-2.813499999999999890e+00,5.328650000000000331e-01,4.567940000000000111e+00,8.914270000000000138e+00,1.327960000000000029e+01,1.748839999999999861e+01
