temperature_K,carrier_type,carrier_density_cm-3,signed_density_cm-3,chemical_potential_Ry,seebeck_uV_K,sigma_over_tau_ohm-1_m-1_s-1,kappa_e_over_tau_W_m-1_K-1_s-1,power_factor_over_tau_W_m-1_K-2_s-1,electronic_zT_no_lattice,hall_m3_C,smoothed_DOS_Ha-1_uc-1,cv_J_mol-1_K-1,chi_m3_mol-1
800,p,2.0004999210080476e+20,2.0004999210080476e+20,0.569652,163.85600000000002,5.73997e+18,87329000000000.0,154111241880.97794,1.4117760824557974,3.05102e-08,12.6117,0.727045,4.05376e-13
900,p,2.0012620916744323e+20,2.0012620916744323e+20,0.570769,183.554,5.5049e+18,92878200000000.0,185471481185.4884,1.7972391052684005,3.01505e-08,11.9308,0.878553,3.8349e-13
300,p,4.9992797851197165e+20,4.9992797851197165e+20,0.559685,31.687199999999997,1.41975e+19,92836700000000.0,14255406545.918396,0.046066070463249106,1.06875e-08,28.2573,0.329897,9.0827e-13
400,p,5.000980674459955e+20,5.000980674459955e+20,0.559929,45.939600000000006,1.38639e+19,118735000000000.0,29259024058.205425,0.09856916345881307,1.07418e-08,27.199,0.442546,8.74253e-13
500,p,5.001540460825096e+20,5.001540460825096e+20,0.560274,62.7506,1.35466e+19,142307000000000.0,53341604226.35677,0.18741735904191914,1.06746e-08,26.3071,0.575015,8.45583e-13
600,p,5.001583521314722e+20,5.001583521314722e+20,0.560727,81.6928,1.32096e+19,163889000000000.0,88157086798.57767,0.3227443701477622,1.05791e-08,25.5196,0.731629,8.20271e-13
700,p,4.997665016758732e+20,4.997665016758732e+20,0.561298,101.41600000000001,1.28418e+19,182662000000000.0,132080546288.14082,0.506161009962108,1.04986e-08,24.7798,0.912298,7.96492e-13
800,p,5.001454339845843e+20,5.001454339845843e+20,0.561966,120.509,1.24684e+19,198348000000000.0,181071330069.5404,0.7303177448506277,1.04167e-08,24.0898,1.11686,7.74315e-13
900,p,5.001045265194393e+20,5.001045265194393e+20,0.562753,138.187,1.20683e+19,210450000000000.0,230451996315.98273,0.9855395423349227,1.03754e-08,23.3928,1.34208,7.5191e-13
300,p,9.998581100484247e+20,9.998581100484247e+20,0.552428,29.005000000000003,2.2718e+19,163339000000000.0,19112426787.95,0.03510323949812966,1.8216e-09,35.7999,0.526268,1.15071e-12
400,p,9.999162417094201e+20,9.999162417094201e+20,0.552639,48.3365,2.25409e+19,213181000000000.0,52664947190.42402,0.09881733773727307,2.48452e-09,36.5964,0.74431,1.17631e-12
500,p,9.999528431256025e+20,9.999528431256025e+20,0.55294,67.1473,2.22935e+19,257954000000000.0,100516038770.23465,0.194833262461979,2.97125e-09,37.2056,0.977148,1.19589e-12
600,p,9.9999805663971e+20,9.9999805663971e+20,0.553331,83.6604,2.19772e+19,295719000000000.0,153819796993.87793,0.3120931634299005,3.36277e-09,37.5864,1.22336,1.20813e-12
700,p,1.0001573804513273e+21,1.0001573804513273e+21,0.553812,97.7003,2.15898e+19,326302000000000.0,206082167638.01907,0.44209817085587383,3.67394e-09,37.7351,1.48345,1.21291e-12
800,p,9.998042844363919e+20,9.998042844363919e+20,0.554387,109.725,2.11268e+19,350269000000000.0,254357706314.25,0.5809425471606109,3.92603e-09,37.6542,1.7578,1.21031e-12
900,p,9.99853803999462e+20,9.99853803999462e+20,0.555043,120.248,2.06134e+19,368916000000000.0,298061137374.55365,0.7271439125359114,4.13119e-09,37.395,2.04883,1.20198e-12
