E_minus_EF_eV,QE_dosx_DOS_states_eV-1_cell-1,BoltzTraP2_DOS_states_eV-1_cell-1,BoltzTraP2_DOS_broadened_states_eV-1_cell-1
-1.800000000000089528e+00,5.243681810338448201e+01,4.863995281517057379e+01,5.535362734596738932e+01
-1.780000000000089955e+00,4.904714583962937269e+01,4.260102825941925175e+01,5.299863533211556899e+01
-1.760000000000090381e+00,4.626135228372632469e+01,6.650957755964840601e+01,5.079272681951422896e+01
-1.740000000000090807e+00,4.414513808341357048e+01,5.802349597605882536e+01,4.877401797539670980e+01
-1.720000000000091234e+00,4.263719485137957577e+01,3.067829456480567174e+01,4.698470796693819551e+01
-1.700000000000091660e+00,4.171359742568980522e+01,3.920612796870116767e+01,4.546533004905094799e+01
-1.680000000000092086e+00,4.139303741903272282e+01,4.977337855824139012e+01,4.424036107423422237e+01
-1.660000000000092513e+00,4.161859870452354215e+01,3.325544056559493100e+01,4.330410479861093620e+01
-1.640000000000092939e+00,4.214640257431017289e+01,4.492530650316757601e+01,4.260738175623959734e+01
-1.620000000000093365e+00,4.261906580301567971e+01,4.882733755152333543e+01,4.206943085513944425e+01
-1.600000000000093792e+00,4.271308387311520249e+01,3.006858340196950152e+01,4.159519584804423431e+01
-1.580000000000094218e+00,4.226102710514931715e+01,5.286703546388679342e+01,4.109532345124210906e+01
-1.560000000000094644e+00,4.127677420697008870e+01,3.766515199968561234e+01,4.050633787999220914e+01
-1.540000000000095071e+00,3.992682066105261640e+01,4.237981832106125069e+01,3.979552726556917008e+01
-1.520000000000095497e+00,3.845551227374112813e+01,3.001274175475550976e+01,3.896359643149962437e+01
-1.500000000000095923e+00,3.709981162600288229e+01,5.871499035895879359e+01,3.803224537346478940e+01
-1.480000000000096350e+00,3.605798968611668442e+01,2.625631734933558548e+01,3.702973974472101304e+01
-1.460000000000096776e+00,3.543051355257470902e+01,3.001100597707053552e+01,3.596885875455711812e+01
-1.440000000000097202e+00,3.514046709849219496e+01,3.513210748364680569e+01,3.483276422031918429e+01
-1.420000000000097629e+00,3.489355097160743924e+01,3.629136264460241534e+01,3.357533616297119750e+01
-1.400000000000098055e+00,3.428149420364167099e+01,3.159988949870427177e+01,3.214120215186407847e+01
-1.380000000000098481e+00,3.303294195320084015e+01,5.189242407980282223e+01,3.049793018066214501e+01
-1.360000000000098908e+00,3.113523099157936969e+01,1.648751231216663626e+01,2.866270772226089036e+01
-1.340000000000099334e+00,2.879789422028501633e+01,2.110032845160290194e+01,2.671385994176744916e+01
