temperature_K,carrier_type,carrier_density_cm-3,signed_density_cm-3,chemical_potential_Ry,seebeck_uV_K,sigma_over_tau_ohm-1_m-1_s-1,kappa_e_over_tau_W_m-1_K-1_s-1,power_factor_over_tau_W_m-1_K-2_s-1,electronic_zT_no_lattice,hall_m3_C,smoothed_DOS_Ha-1_uc-1,cv_J_mol-1_K-1,chi_m3_mol-1
600,p,4.999973282563624e+20,4.999973282563624e+20,0.520668,143.529,7.39158e+18,83205900000000.0,152270789591.65875,1.098028790686661,1.50435e-08,44.2914,2.74911,1.20993e-12
700,p,4.997539644578976e+20,4.997539644578976e+20,0.521775,160.988,6.87877e+18,84255400000000.0,178278018593.2629,1.4811467634749111,1.61128e-08,42.2742,3.41428,1.15482e-12
800,p,5.001839681619519e+20,5.001839681619519e+20,0.523023,176.721,6.37628e+18,83932100000000.0,199133212785.53143,1.8980410382729034,1.71654e-08,40.1121,4.07829,1.09576e-12
900,p,4.998509440166844e+20,4.998509440166844e+20,0.524413,190.733,5.89108e+18,83744400000000.0,214312054635.68216,2.3032089210993685,1.81947e-08,37.8386,4.72189,1.03365e-12
300,p,9.995628230056745e+20,9.995628230056745e+20,0.514039,60.9158,1.44868e+19,98357400000000.0,53756671301.87675,0.16396327465511515,6.56041e-09,80.0367,1.64878,2.18639e-12
400,p,9.99981847891753e+20,9.99981847891753e+20,0.51456,75.7614,1.39851e+19,120105000000000.0,80271533352.46358,0.26733785721648085,6.91412e-09,79.0263,2.3953,2.15879e-12
500,p,1.0007229181051231e+21,1.0007229181051231e+21,0.515222,90.65090000000001,1.33428e+19,134608000000000.0,109645602088.48367,0.40727743554797513,7.32275e-09,77.5785,3.2017,2.11924e-12
600,p,1.0002892547950768e+21,1.0002892547950768e+21,0.516026,105.18,1.2607e+19,142425000000000.0,139469128066.80002,0.5875476695810428,7.79837e-09,75.5402,4.0071,2.06356e-12
700,p,9.999232941958817e+20,9.999232941958817e+20,0.51695,119.037,1.18381e+19,145201000000000.0,167743596614.9589,0.8086756815068162,8.32971e-09,73.014,4.78926,1.99455e-12
800,p,9.997494629112641e+20,9.997494629112641e+20,0.517979,132.03,1.10739e+19,144613000000000.0,193039348854.51,1.0678948578869674,8.90328e-09,70.1268,5.54649,1.91568e-12
900,p,9.99754952320252e+20,9.99754952320252e+20,0.519103,143.998,1.03396e+19,142285000000000.0,214395990031.7584,1.356126021917859,9.50057e-09,67.0304,6.28412,1.83109e-12
