mu_minus_EF_eV,S_300K_uV_K-1,S_400K_uV_K-1,S_500K_uV_K-1,S_600K_uV_K-1,S_700K_uV_K-1,S_800K_uV_K-1,S_900K_uV_K-1
-1.465345148512320617e-01,7.646840000000000259e+01,9.433570000000000277e+01,1.073340000000000032e+02,1.169530000000000030e+02,1.239950000000000045e+02,1.289900000000000091e+02,1.323319999999999936e+02
-1.336091063843876658e-01,8.098829999999999529e+01,1.006569999999999965e+02,1.146410000000000053e+02,1.246119999999999948e+02,1.316610000000000014e+02,1.364869999999999948e+02,1.395690000000000168e+02
-1.206973036106666619e-01,8.593110000000000070e+01,1.074449999999999932e+02,1.224300000000000068e+02,1.327189999999999941e+02,1.397210000000000036e+02,1.443170000000000073e+02,1.470809999999999889e+02
-1.077855008369441453e-01,9.151989999999999270e+01,1.149110000000000014e+02,1.308220000000000027e+02,1.413449999999999989e+02,1.482130000000000223e+02,1.524989999999999952e+02,1.548769999999999811e+02
-9.486009237009976336e-02,9.833589999999999520e+01,1.233580000000000041e+02,1.399699999999999989e+02,1.505660000000000025e+02,1.571759999999999877e+02,1.610550000000000068e+02,1.629660000000000082e+02
-8.194828959637875943e-02,1.072909999999999968e+02,1.331550000000000011e+02,1.500409999999999968e+02,1.604639999999999986e+02,1.666510000000000105e+02,1.700019999999999811e+02,1.713520000000000039e+02
-6.902288112953437749e-02,1.192869999999999919e+02,1.446700000000000159e+02,1.612040000000000077e+02,1.711170000000000186e+02,1.766759999999999877e+02,1.793559999999999945e+02,1.800370000000000061e+02
-5.611107835581337355e-02,1.347860000000000014e+02,1.581829999999999927e+02,1.735999999999999943e+02,1.825949999999999989e+02,1.872789999999999964e+02,1.891229999999999905e+02,1.890169999999999959e+02
-4.318566988896898468e-02,1.537420000000000186e+02,1.738449999999999989e+02,1.873290000000000077e+02,1.949449999999999932e+02,1.984789999999999850e+02,1.993040000000000020e+02,1.982779999999999916e+02
-3.027386711524798421e-02,1.759390000000000214e+02,1.916899999999999977e+02,2.024399999999999977e+02,2.081929999999999836e+02,2.102790000000000248e+02,2.098880000000000052e+02,2.077990000000000066e+02
-1.736206434152698375e-02,2.012999999999999829e+02,2.116779999999999973e+02,2.189290000000000020e+02,2.223329999999999984e+02,2.226630000000000109e+02,2.208460000000000036e+02,2.175430000000000064e+02
-4.436655874682597471e-03,2.298750000000000000e+02,2.337170000000000130e+02,2.367479999999999905e+02,2.373320000000000221e+02,2.355930000000000177e+02,2.321330000000000098e+02,2.274579999999999984e+02
8.475146899038403861e-03,2.616450000000000387e+02,2.576730000000000018e+02,2.558040000000000020e+02,2.531230000000000189e+02,2.490060000000000286e+02,2.436800000000000068e+02,2.374680000000000177e+02
2.140055536588279100e-02,2.963679999999999950e+02,2.833539999999999850e+02,2.759700000000000273e+02,2.696030000000000086e+02,2.628029999999999973e+02,2.553880000000000052e+02,2.474719999999999800e+02
3.431235813960530068e-02,3.335769999999999982e+02,3.105190000000000055e+02,2.970749999999999886e+02,2.866290000000000191e+02,2.768480000000000132e+02,2.671160000000000423e+02,2.573310000000000173e+02
