mu_minus_EF_eV,S_300K_uV_K-1,S_400K_uV_K-1,S_500K_uV_K-1,S_600K_uV_K-1,S_700K_uV_K-1,S_800K_uV_K-1,S_900K_uV_K-1
-6.049476188026774864e-02,8.484779999999999234e+01,9.145289999999999964e+01,9.667409999999999570e+01,1.012240000000000038e+02,1.051689999999999969e+02,1.084909999999999997e+02,1.111889999999999930e+02
-4.758295910654599531e-02,1.058810000000000002e+02,1.096739999999999924e+02,1.121719999999999970e+02,1.145079999999999956e+02,1.167349999999999994e+02,1.187249999999999943e+02,1.203739999999999952e+02
-3.467115633282499138e-02,1.293079999999999927e+02,1.295600000000000023e+02,1.289019999999999868e+02,1.287310000000000230e+02,1.290279999999999916e+02,1.295310000000000059e+02,1.300150000000000148e+02
-2.175935355910399091e-02,1.554260000000000161e+02,1.511200000000000045e+02,1.468119999999999834e+02,1.438429999999999893e+02,1.420099999999999909e+02,1.408799999999999955e+02,1.400920000000000130e+02
-8.847550785382234106e-03,1.844879999999999995e+02,1.743480000000000132e+02,1.658479999999999848e+02,1.597889999999999873e+02,1.556399999999999864e+02,1.527450000000000045e+02,1.505850000000000080e+02
4.064251988338767226e-03,2.165620000000000118e+02,1.991889999999999930e+02,1.859409999999999741e+02,1.765109999999999957e+02,1.698739999999999952e+02,1.650920000000000130e+02,1.614689999999999941e+02
1.697605476206052316e-02,2.514549999999999841e+02,2.255330000000000155e+02,2.070070000000000050e+02,1.939459999999999980e+02,1.846630000000000109e+02,1.778849999999999909e+02,1.727189999999999941e+02
2.988785753578152363e-02,2.887459999999999809e+02,2.532079999999999984e+02,2.289489999999999839e+02,2.120249999999999773e+02,1.999579999999999984e+02,1.910910000000000082e+02,1.843089999999999975e+02
4.279966030950252409e-02,3.279030000000000200e+02,2.820070000000000050e+02,2.516550000000000011e+02,2.306769999999999925e+02,2.157100000000000080e+02,2.046709999999999923e+02,1.962099999999999795e+02
5.571146308322428436e-02,3.684089999999999918e+02,3.117160000000000082e+02,2.750120000000000005e+02,2.498309999999999889e+02,2.318680000000000234e+02,2.185889999999999986e+02,2.083959999999999866e+02
6.862326585694528136e-02,4.098360000000000127e+02,3.421299999999999955e+02,2.989089999999999918e+02,2.694169999999999732e+02,2.483839999999999861e+02,2.328100000000000023e+02,2.208389999999999986e+02
8.153506863066703469e-02,4.518650000000000091e+02,3.730760000000000218e+02,3.232450000000000045e+02,2.893680000000000518e+02,2.652110000000000127e+02,2.472980000000000302e+02,2.335100000000000193e+02
